Sample,Method,Confidence_categories,Total_pergroup,Rate
0012,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0012,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0012,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,1,50
0012,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,50
0012,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,3,75
0012,COI - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,1,25
0012,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0012,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0012,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0012,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0013,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,104,97.196261682243
0013,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,3,2.80373831775701
0013,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,105,97.2222222222222
0013,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,3,2.77777777777778
0013,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0013,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0013,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0013,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0013,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,3,75
0013,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,25
0013,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,6,100
0013,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0013,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0013,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0013,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0014,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,104,93.6936936936937
0014,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,7,6.30630630630631
0014,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,88,92.6315789473684
0014,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,7,7.36842105263158
0014,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0014,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0014,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0014,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0014,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,2,50
0014,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,2,50
0014,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,5,100
0014,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0014,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0014,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0014,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0015,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,109,99.0909090909091
