ID	cellularOrganisms	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
NC_066922	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Cottus	Cottus_confusus
OR814564	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Cottus	Cottus_ricei
NC_028277	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Cottus	Cottus_bairdii
NC_068673	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Cottus	Cottus_cognatus
OR814545	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Myoxocephalus	Myoxocephalus_thompsonii
NC_033945	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Richardsonius	Richardsonius_balteatus
KF147851	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius_auratus
NC_028087	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Pimephales	Pimephales_promelas
NC_031569	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Platygobio	Platygobio_gracilis
NC_033925	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notropis	Notropis_atherinoides
NC_015364	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Chrosomus	Chrosomus_eos
KX145294	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Chrosomus	Chrosomus_neogaeus
NC_031568	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Couesius	Couesius_plumbeus
NC_033944	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Rhinichthys	Rhinichthys_cataractae
KX145202	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Hybognathus	Hybognathus_hankinsoni
KX145413	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Hybognathus	Hybognathus_argyritis
KX145461	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notropis	Notropis_blennius
NC_066937	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Ptychocheilus	Ptychocheilus_oregonensis
NC_014177	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius_gibelio
OR557495	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Margariscus	Margariscus_margarita
NC_037014	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notropis	Notropis_hudsonius
NC_004593	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	Esox	Esox_lucius
NC_041244	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus_aculeatus
NC_011577	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Culaea	Culaea_inconstans
NC_011571	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Pungitius	Pungitius_pungitius
NC_015082	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Hiodontiformes	Hiodontidae	Hiodon	Hiodon_tergisus
NC_005145	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Hiodontiformes	Hiodontidae	Hiodon	Hiodon_alosoides
EU525040	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Siluriformes	Ictaluridae	Noturus	Noturus_flavus
NC_004379	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Lotidae	Lota	Lota_lota
NC_019572	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Perca	Perca_flavescens
NC_028285	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Sander	Sander_vitreus
NC_021444	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Sander	Sander_canadensis
KX145392	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Etheostoma	Etheostoma_exile
KX145537	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Percina	Percina_caprodes
NC_068672	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Percopsiformes	Percopsidae	Percopsis	Percopsis_omiscomaycus
NC_020465	cellularOrganisms	Eukaryota	Metazoa	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Lethenteron	Lethenteron_camtschaticum
NC_004388	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Gambusia	Gambusia_affinis
NC_035305	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia_latipinna
NC_024032	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo_trutta
NC_020764	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Prosopium	Prosopium_cylindraceum
NC_020763	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Prosopium	Prosopium_williamsoni
NC_020762	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Coregonus	Coregonus_clupeaformis
NC_001717	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus_mykiss
NC_056305	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Thymallus	Thymallus_arcticus
NC_026537	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	undef_Salmonidae	Oncorhynchus_mykiss_x_Salmo_salar
NC_001960	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo_salar
NC_036392	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_namaycush
NC_008615	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus_nerka
NC_009263	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus_kisutch
OQ379954	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Prosopium	Prosopium_coulterii
NC_066907	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_confluentus
NC_000861	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_alpinus
NC_037502	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_malma
NC_000860	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_fontinalis
NC_036393:JX960903	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Coregonus	Coregonus_artedi:zenithicus
