Acanthuridae
Leptoscopidae
Lethrinidae
Linophrynidae
Liparidae
Lobotidae
Lophichthyidae
Lophiidae
Lophotidae
Loricariidae
Lotidae
Lutjanidae
Luvaridae
Macrouridae
Malacanthidae
Malapteruridae
Mastacembelidae
Megalopidae
Melamphaidae
Melanocetidae
Melanonidae
Melanotaeniidae
Menidae
Merlucciidae
Microstomatidae
Mochokidae
Molidae
Monacanthidae
Monocentridae
Monodactylidae
Monognathidae
Moridae
Moringuidae
Mormyridae
Moronidae
Mugilidae
Mullidae
Muraenesocidae
Muraenidae
Muraenolepididae
Myctophidae
Myrocongridae
Nandidae
Nemacheilidae
Nematistiidae
Nematogenyidae
Nemichthyidae
Nemipteridae
Neoceratiidae
Neoscopelidae
Neosebastidae
Nettastomatidae
Niphonidae
Nomeidae
Normanichthyidae
Notacanthidae
Nothobranchiidae
Notopteridae
Notosudidae
Nototheniidae
Odontobutidae
Ogcocephalidae
Oneirodidae
Ophichthidae
Ophidiidae
Opisthoproctidae
Opistognathidae
Oplegnathidae
Oreosomatidae
Osmeridae
Osphronemidae
Osteoglossidae
Ostraciidae
Ostracoberycidae
Pangasiidae
Pantodontidae
Parabembridae
Parabrotulidae
Paralepididae
Paralichthodidae
Paralichthyidae
Parascorpididae
Paraulopidae
Parazenidae
Parodontidae
Pataecidae
Pegasidae
Pempheridae
Pentacerotidae
Percalatidae
Percichthyidae
Percidae
Percophidae
Percopsidae
Peristediidae
Perryenidae
Petromyzontidae
Phallostethidae
Pholidae
Pholidichthyidae
Phosichthyidae
Phycidae
Pimelodidae
Pinguipedidae
Platycephalidae
Platytroctidae
Plecoglossidae
Plectrogeniidae
Plesiopidae
Pleuronectidae
Plotosidae
Poeciliidae
Poecilopsettidae
Polycentridae
Polymixiidae
Polynemidae
Polyodontidae
Polyprionidae
Polypteridae
Pomacanthidae
Pomacentridae
Pomatomidae
Priacanthidae
Pristigasteridae
Pristolepididae
Prochilodontidae
Profundulidae
Protanguillidae
Psettodidae
Pseudaphritidae
Pseudochromidae
Pseudomugilidae
Pseudopimelodidae
Pseudotrichonotidae
Psilorhynchidae
Psychrolutidae
Ptilichthyidae
Rachycentridae
Radiicephalidae
Regalecidae
Retropinnidae
Rhamphichthyidae
Rhamphocottidae
Rhombosoleidae
Rhyacichthyidae
Rivulidae
Rondeletiidae
Saccopharyngidae
Salangidae
Salmonidae
Samaridae
Scatophagidae
Schilbeidae
Schindleriidae
Sciaenidae
Scoloplacidae
Scombridae
Scombrolabracidae
Scombropidae
Scopelarchidae
Scophthalmidae
Scorpaenichthyidae
Scorpaenidae
Scytalinidae
Sebastidae
Serpenticobitidae
Serranidae
Serrasalmidae
Serrivomeridae
Setarchidae
Siganidae
Sillaginidae
Siluridae
Sinipercidae
Sisoridae
Soleidae
Solenostomidae
Sparidae
Sphyraenidae
Steindachneriidae
Stephanoberycidae
Sternoptychidae
Sternopygidae
Stichaeidae
Stomiidae
Stromateidae
Stylephoridae
Sudidae
Symphysanodontidae
Synanceiidae
Synaphobranchidae
Synbranchidae
Syngnathidae
Synodontidae
Telmatherinidae
Terapontidae
Tetrabrachiidae
Tetragonuridae
Tetraodontidae
Tetrarogidae
Thalasseleotrididae
Thaumatichthyidae
Toxotidae
Trachichthyidae
Trachinidae
Trachipteridae
Triacanthidae
Triacanthodidae
Trichiuridae
Trichodontidae
Trichomycteridae
Trichonotidae
Triglidae
Triodontidae
Triportheidae
Tripterygiidae
Umbridae
Uranoscopidae
Vaillantellidae
Valenciidae
Veliferidae
Xenisthmidae
Xiphiidae
Zanclidae
Zanclorhynchidae
Zaniolepididae
Zaproridae
Zeidae
Zenarchopteridae
Zenionidae
Zoarcidae
