Group,Genus,Species,TaxonName,Total,0001-mifish,0002-mifish,0003-mifish,0004-mifish,0005-mifish,0006-mifish,0007-mifish,0008-mifish,0009-mifish,0010-mifish,0011-mifish,0012-mifish,0013-mifish,0014-mifish,0015-mifish,0016-mifish,0017-mifish,0018-mifish,12s-allalberta,12s-blindspot,12s-lowrelat,12s-mix,12s-richlowevenlow,12s-richlowevenplus,12s-richplusevenlow,12s-richplusevenplus
Salmonidae,Stenodus,leucichthys,Salmonidae_Stenodus_leucichthys,2354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,1084,0,0,0,0
zMultiple,Hits,Salmonidae_Salvelinus_fontinalis : Salmonidae_Salvelinus_leucomaenis,MultipleHits,29568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,5359,0,1100,9536,5018,4768,2510
zMultiple,Hits,Fish_Thymallus_arcticus : Fish_Thymallus_mertensii,MultipleHits,22517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,5353,0,1099,3512,5010,3758,2510
zMultiple,Hits,Comephoridae_Comephorus_dybowskii : Cottidae_Cottus_bairdii : Cottidae_Cottus_cognatus : Cottidae_Cottus_dzungaricus,MultipleHits,13123,0,0,0,5138,126,0,0,0,824,0,0,2,311,4283,259,1081,1098,0,1,0,0,0,0,0,0,0
zMultiple,Hits,Comephoridae_Comephorus_dybowskii : Cottidae_Cottus_bairdii : Cottidae_Cottus_cognatus,MultipleHits,12896,0,0,0,21,0,0,0,0,7,0,0,0,1,11,0,0,3,0,2545,0,5349,2200,0,0,251,2508
zMultiple,Hits,Cyprinidae_Carassius_carassius : Cyprinidae_Carassius_gibelio,MultipleHits,2397,2,0,0,0,0,3,6,0,0,0,0,0,1,3,4,0,0,0,1276,0,0,1102,0,0,0,0
zMultiple,Hits,Percidae_Sander_canadensis : Percidae_Sander_lucioperca,MultipleHits,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,1101,0,0,0,0
zMultiple,Hits,Salmonidae_Salvelinus_albus : Salmonidae_Salvelinus_alpinus : Salmonidae_Salvelinus_kuznetzovi,MultipleHits,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,0,0,1097,0,0,0,0
zMultiple,Hits,Cyprinidae_Luxilus_chrysocephalus : Cyprinidae_Luxilus_cornutus,MultipleHits,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,0,0,1098,0,0,0,0
zMultiple,Hits,Fish_Centropyge_eibli : Fish_Centropyge_flavissima,MultipleHits,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0
zMultiple,Hits,Cottidae_Cottus_dzungaricus : Cottidae_Cottus_ricei,MultipleHits,20,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
Total,reads,by,sample,874237,25572,13257,24124,15605,18961,18476,12059,29860,37944,31326,28027,12257,16925,20587,16913,24221,9892,48972,76555,80351,80360,71466,40131,40115,40130,40151
