ID	cellularOrganisms	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
NC_001717	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus_mykiss
NC_006547	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla_rostrata
NC_035305	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia_latipinna
NC_056305	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Thymallus	Thymallus_arcticus
NC_026537	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	undef_Salmonidae	Oncorhynchus_mykiss_x_Salmo_salar
NC_008647	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus_commersonii
NC_031569	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Platygobio	Platygobio_gracilis
NC_037013	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus_catostomus
NC_036393	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Coregonus	Coregonus_artedi
NC_001960	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo_salar
NC_033925	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notropis	Notropis_atherinoides
NC_015364	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Chrosomus	Chrosomus_eos
NC_004593	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Esociformes	Esocidae	Esox	Esox_lucius
NC_036392	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_namaycush
NC_028284	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Lepomis	Lepomis_gibbosus
NC_019572	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Perca	Perca_flavescens
NC_031568	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Couesius	Couesius_plumbeus
NC_014177	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius_gibelio
NC_000861:NC_037502	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_alpinus:malma
NC_008615	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus_nerka
NC_033944	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Rhinichthys	Rhinichthys_cataractae
NC_028285	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Sander	Sander_vitreus
NC_021444	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Sander	Sander_canadensis
NC_009263	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus_kisutch
NC_056404	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Carpiodes	Carpiodes_cyprinus
NC_066945	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus_macrocheilus
MG924469	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Coregonus	Coregonus_zenithicus
NC_066922	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Cottus	Cottus_confusus
MG924474	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cottidae	Cottus	Cottus_ricei
