Group,Genus,Total,0001-PS1,0002-PS1,0003-PS1,0004-PS1,0005-PS1,0006-PS1,0007-PS1,0008-PS1,0009-PS1,0010-PS1,0011-PS1,0012-PS1,0013-PS1,0014-PS1,0015-PS1,0016-PS1,0017-PS1,0018-PS1,coi,coi-allalberta,coi-blindspot,coi-lowrelat,coi-mix,coi-richlowevenlow,coi-richlowevenplus,coi-richplusevenlow,coi-richplusevenplus
chordata,Lethenteron,5985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,879,0,3688,709,0,0,0,0
chordata,Lota,23013,0,6,0,8,1,0,0,1,0,0,0,0,1,0,0,3,0,2,709,878,3691,3690,709,5190,3457,2940,1727
chordata,Margariscus,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,880,0,0,709,0,0,0,0
chordata,Micropterus,8287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,1758,0,3691,1419,0,0,0,0
chordata,Moxostoma,4599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1759,0,0,1420,0,0,0,0
chordata,Myoxocephalus,2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,879,0,0,709,0,0,0,0
chordata,Notropis,6895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2129,2637,0,0,2129,0,0,0,0
chordata,Noturus,5988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,879,0,3689,710,0,0,0,0
chordata,Oncorhynchus,30738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,3512,3691,3692,2834,5878,3455,3111,1731
chordata,Perca,19001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,878,3688,3687,710,1727,3456,2418,1727
chordata,Percina,2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,880,0,0,708,0,0,0,0
chordata,Percopsis,11789,0,1,0,0,0,0,12,0,7,9,0,1,0,4,3,0,0,0,710,880,3687,3690,710,0,0,345,1730
chordata,Pimephales,2316,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,709,879,0,0,709,0,0,0,0
chordata,Platygobio,12267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,879,3693,3690,709,0,0,861,1726
chordata,Poecilia,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,879,0,0,708,0,0,0,0
chordata,Prosopium,18194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130,2637,3691,0,2130,346,3457,2076,1727
chordata,Ptychocheilus,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,880,0,0,709,0,0,0,0
chordata,Pungitius,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,880,0,0,710,0,0,0,0
chordata,Rhinichthys,63,0,0,0,0,1,0,6,4,16,8,7,0,6,0,6,6,0,0,1,1,0,0,1,0,0,0,0
chordata,Richardsonius,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,879,0,0,708,0,0,0,0
chordata,Salmo,11393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1756,3689,0,1420,0,0,1382,1726
chordata,Salvelinus,30212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3545,4391,3693,0,3545,6571,3461,3280,1726
chordata,Sander,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,893,47,0,719,0,0,6,11
chordata,Thymallus,16188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,880,3692,0,708,2421,3458,2591,1730
